être 1suis2es3est4sommes5e^tes6sont7
faire 1fais2fais3fait4faisons5faites6font7
aller 1vais2vas3va4allons5allez6vont7
parler 1parle2parles3parle4parlons5parlez6parlent7
aimer 1aime2aimes3aime4aimons5aimez6aiment7
finir 1finis2finis3finit4finissons5finissez6finissent7
avoir 1ai2as3a4avons5avez6ont7
vouloir 1veux2veux3veut4voulons5voulez6voulent7
pouvoir 1peux2peux3peut4pouvons5pouvez6peuvent7
devoir 1dois2dois3doit4devons5devez6doivent7
savoir 1sais2sais3sait4savons5savez6savent7
dormir 1dors2dors3dort4dormons5dormez6dorment7
offrir 1offre2offres3offre4offrons5offrez6offrent7
venir 1viens2viens3vient4venons5venez6vennent7
courir 1cours2cours3court4courons5courez6courent7
